#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\4 WVUH Billing","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","4 WVUH Billing","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","4 WVUH Billing",,,"4 WVUH Billing","Y:\Billing\4 WVUH Billing","Billing","True","Y:\","","7/27/2016 12:59:17 PM","7/27/2016 4:59:17 PM","5/9/2018 6:57:16 AM","5/9/2018 10:57:16 AM","5/9/2018 6:57:16 AM","5/9/2018 10:57:16 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\Bills from CoPath","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","Bills from CoPath","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Bills from CoPath",,,"Bills from CoPath","Y:\Billing\Bills from CoPath","Billing","True","Y:\","","1/29/2019 10:12:40 AM","1/29/2019 3:12:40 PM","6/23/2020 6:41:10 AM","6/23/2020 10:41:10 AM","6/23/2020 6:41:10 AM","6/23/2020 10:41:10 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\Historical Billing","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","Historical Billing","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Historical Billing",,,"Historical Billing","Y:\Billing\Historical Billing","Billing","True","Y:\","","7/27/2016 12:59:22 PM","7/27/2016 4:59:22 PM","5/23/2018 3:21:47 PM","5/23/2018 7:21:47 PM","5/23/2018 3:21:47 PM","5/23/2018 7:21:47 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\iLab","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","iLab","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","iLab",,,"iLab","Y:\Billing\iLab","Billing","True","Y:\","","8/7/2017 4:21:36 PM","8/7/2017 8:21:36 PM","8/31/2020 5:33:20 AM","8/31/2020 9:33:20 AM","8/31/2020 5:33:20 AM","8/31/2020 9:33:20 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\Old Cores Website","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","Old Cores Website","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Old Cores Website",,,"Old Cores Website","Y:\Billing\Old Cores Website","Billing","True","Y:\","","5/23/2018 4:24:30 PM","5/23/2018 8:24:30 PM","5/23/2018 4:24:45 PM","5/23/2018 8:24:45 PM","5/23/2018 4:24:45 PM","5/23/2018 8:24:45 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\PLTM Billing --- TB, IHC,  and Routine Histology","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","PLTM Billing --- TB, IHC,  and Routine Histology","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PLTM Billing --- TB, IHC,  and Routine Histology",,,"PLTM Billing --- TB, IHC,  and Routine Histology","Y:\Billing\PLTM Billing --- TB, IHC,  and Routine Histology","Billing","True","Y:\","","7/27/2016 3:09:39 PM","7/27/2016 7:09:39 PM","5/23/2018 3:13:50 PM","5/23/2018 7:13:50 PM","5/23/2018 3:13:50 PM","5/23/2018 7:13:50 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\PRICES","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","PRICES","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PRICES",,,"PRICES","Y:\Billing\PRICES","Billing","True","Y:\","","9/27/2017 7:29:05 AM","9/27/2017 11:29:05 AM","7/15/2020 2:57:56 PM","7/15/2020 6:57:56 PM","7/15/2020 2:57:56 PM","7/15/2020 6:57:56 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\Research Lab Billing --- IHC and Routine Histology","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","Research Lab Billing --- IHC and Routine Histology","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Research Lab Billing --- IHC and Routine Histology",,,"Research Lab Billing --- IHC and Routine Histology","Y:\Billing\Research Lab Billing --- IHC and Routine Histology","Billing","True","Y:\","","4/9/2018 2:44:27 PM","4/9/2018 6:44:27 PM","5/23/2018 3:19:53 PM","5/23/2018 7:19:53 PM","5/23/2018 3:19:53 PM","5/23/2018 7:19:53 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\Cifarelli.xlsx","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","Cifarelli.xlsx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Cifarelli",,,"Cifarelli.xlsx","Y:\Billing\Cifarelli.xlsx",,"True",,".xlsx","6/8/2017 11:48:57 AM","6/8/2017 3:48:57 PM","9/25/2017 6:50:03 AM","9/25/2017 10:50:03 AM","9/25/2017 6:50:03 AM","9/25/2017 10:50:03 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Billing\GLs 15Jun2020.docx","Microsoft.PowerShell.Core\FileSystem::Y:\Billing","GLs 15Jun2020.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","GLs 15Jun2020",,,"GLs 15Jun2020.docx","Y:\Billing\GLs 15Jun2020.docx",,"True",,".docx","8/19/2020 12:52:13 PM","8/19/2020 4:52:13 PM","8/19/2020 12:52:13 PM","8/19/2020 4:52:13 PM","3/23/2020 6:12:06 AM","3/23/2020 10:12:06 AM","Archive, NotContentIndexed"
