#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\2018 Magee conf","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","2018 Magee conf","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2018 Magee conf",,,"2018 Magee conf","Y:\Carie-Trevor\2018 Magee conf","Carie-Trevor","True","Y:\","","10/22/2018 2:56:08 PM","10/22/2018 6:56:08 PM","8/26/2019 4:13:36 PM","8/26/2019 8:13:36 PM","8/26/2019 4:13:36 PM","8/26/2019 8:13:36 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\2020 magee","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","2020 magee","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2020 magee",,,"2020 magee","Y:\Carie-Trevor\2020 magee","Carie-Trevor","True","Y:\","","2/6/2020 2:18:44 PM","2/6/2020 7:18:44 PM","4/6/2020 2:10:49 PM","4/6/2020 6:10:49 PM","4/6/2020 2:10:49 PM","4/6/2020 6:10:49 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\CAP CHECKLIST LECTURE summer 2019","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","CAP CHECKLIST LECTURE summer 2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","CAP CHECKLIST LECTURE summer 2019",,,"CAP CHECKLIST LECTURE summer 2019","Y:\Carie-Trevor\CAP CHECKLIST LECTURE summer 2019","Carie-Trevor","True","Y:\","","4/30/2019 2:50:01 PM","4/30/2019 6:50:01 PM","6/17/2020 11:27:52 AM","6/17/2020 3:27:52 PM","6/17/2020 11:27:52 AM","6/17/2020 3:27:52 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Conference","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Conference","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Conference",,,"Gross Conference","Y:\Carie-Trevor\Gross Conference","Carie-Trevor","True","Y:\","","3/6/2019 11:22:47 AM","3/6/2019 4:22:47 PM","2/7/2020 8:48:39 AM","2/7/2020 1:48:39 PM","2/7/2020 8:48:39 AM","2/7/2020 1:48:39 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Manual","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Manual","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual",,,"Gross Manual","Y:\Carie-Trevor\Gross Manual","Carie-Trevor","True","Y:\","","4/25/2018 3:27:04 PM","4/25/2018 7:27:04 PM","8/8/2018 9:04:46 AM","8/8/2018 1:04:46 PM","8/8/2018 9:04:46 AM","8/8/2018 1:04:46 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Manual - Copy","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Manual - Copy","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual - Copy",,,"Gross Manual - Copy","Y:\Carie-Trevor\Gross Manual - Copy","Carie-Trevor","True","Y:\","","8/7/2018 12:40:32 PM","8/7/2018 4:40:32 PM","8/7/2018 12:47:30 PM","8/7/2018 4:47:30 PM","8/7/2018 12:47:30 PM","8/7/2018 4:47:30 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Manual - Copy (2)","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Manual - Copy (2)","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual - Copy (2)",,,"Gross Manual - Copy (2)","Y:\Carie-Trevor\Gross Manual - Copy (2)","Carie-Trevor","True","Y:\","","8/8/2018 10:01:11 AM","8/8/2018 2:01:11 PM","8/8/2018 10:01:23 AM","8/8/2018 2:01:23 PM","8/8/2018 10:01:23 AM","8/8/2018 2:01:23 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Manual Word Documents","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Manual Word Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual Word Documents",,,"Gross Manual Word Documents","Y:\Carie-Trevor\Gross Manual Word Documents","Carie-Trevor","True","Y:\","","8/7/2018 8:38:20 AM","8/7/2018 12:38:20 PM","8/7/2018 8:48:20 AM","8/7/2018 12:48:20 PM","8/7/2018 8:48:20 AM","8/7/2018 12:48:20 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\Gross Manual-links","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","Gross Manual-links","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual-links",,,"Gross Manual-links","Y:\Carie-Trevor\Gross Manual-links","Carie-Trevor","True","Y:\","","8/3/2018 12:28:02 PM","8/3/2018 4:28:02 PM","8/3/2018 12:40:42 PM","8/3/2018 4:40:42 PM","8/3/2018 12:40:42 PM","8/3/2018 4:40:42 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor\PGY1 Bootcamp Manual","Microsoft.PowerShell.Core\FileSystem::Y:\Carie-Trevor","PGY1 Bootcamp Manual","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PGY1 Bootcamp Manual",,,"PGY1 Bootcamp Manual","Y:\Carie-Trevor\PGY1 Bootcamp Manual","Carie-Trevor","True","Y:\","","6/22/2018 10:27:35 AM","6/22/2018 2:27:35 PM","6/22/2018 11:56:46 AM","6/22/2018 3:56:46 PM","6/22/2018 11:56:46 AM","6/22/2018 3:56:46 PM","Directory, NotContentIndexed"
