#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\2019 Files","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","2019 Files","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","2019 Files",,,"2019 Files","Y:\Cheryl-Erin\2019 Files","Cheryl-Erin","True","Y:\","","12/10/2019 8:29:23 AM","12/10/2019 1:29:23 PM","12/10/2019 8:30:32 AM","12/10/2019 1:30:32 PM","12/10/2019 8:30:32 AM","12/10/2019 1:30:32 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Annual Funding Account","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Annual Funding Account","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Annual Funding Account",,,"Annual Funding Account","Y:\Cheryl-Erin\Annual Funding Account","Cheryl-Erin","True","Y:\","","9/23/2019 8:09:29 AM","9/23/2019 12:09:29 PM","2/19/2020 1:51:11 PM","2/19/2020 6:51:11 PM","2/19/2020 1:51:11 PM","2/19/2020 6:51:11 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Human Gift Registry","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Human Gift Registry","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Human Gift Registry",,,"Human Gift Registry","Y:\Cheryl-Erin\Human Gift Registry","Cheryl-Erin","True","Y:\","","7/1/2019 11:28:32 AM","7/1/2019 3:28:32 PM","8/31/2020 1:21:21 PM","8/31/2020 5:21:21 PM","8/31/2020 1:21:21 PM","8/31/2020 5:21:21 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Miscellaneous Receipts","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Miscellaneous Receipts","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Miscellaneous Receipts",,,"Miscellaneous Receipts","Y:\Cheryl-Erin\Miscellaneous Receipts","Cheryl-Erin","True","Y:\","","7/12/2019 8:04:20 AM","7/12/2019 12:04:20 PM","8/27/2020 8:04:27 PM","8/28/2020 12:04:27 AM","8/27/2020 8:04:27 PM","8/28/2020 12:04:27 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Payroll forms","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Payroll forms","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Payroll forms",,,"Payroll forms","Y:\Cheryl-Erin\Payroll forms","Cheryl-Erin","True","Y:\","","12/16/2019 3:37:20 PM","12/16/2019 8:37:20 PM","1/15/2020 2:41:16 PM","1/15/2020 7:41:16 PM","1/15/2020 2:41:16 PM","1/15/2020 7:41:16 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Saudi","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Saudi","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Saudi",,,"Saudi","Y:\Cheryl-Erin\Saudi","Cheryl-Erin","True","Y:\","","10/14/2019 3:26:02 PM","10/14/2019 7:26:02 PM","2/13/2020 12:10:20 PM","2/13/2020 5:10:20 PM","2/13/2020 12:10:20 PM","2/13/2020 5:10:20 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\State Accounts","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","State Accounts","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","State Accounts",,,"State Accounts","Y:\Cheryl-Erin\State Accounts","Cheryl-Erin","True","Y:\","","7/22/2019 2:05:26 PM","7/22/2019 6:05:26 PM","5/8/2020 1:28:36 PM","5/8/2020 5:28:36 PM","5/8/2020 1:28:36 PM","5/8/2020 5:28:36 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\State Accounts - FY2021","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","State Accounts - FY2021","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","State Accounts - FY2021",,,"State Accounts - FY2021","Y:\Cheryl-Erin\State Accounts - FY2021","Cheryl-Erin","True","Y:\","","5/8/2020 8:30:20 AM","5/8/2020 12:30:20 PM","5/8/2020 12:54:28 PM","5/8/2020 4:54:28 PM","5/8/2020 12:54:28 PM","5/8/2020 4:54:28 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Book1.xlsx","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Book1.xlsx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Book1",,,"Book1.xlsx","Y:\Cheryl-Erin\Book1.xlsx",,"True",,".xlsx","8/25/2020 12:34:26 PM","8/25/2020 4:34:26 PM","8/25/2020 12:34:26 PM","8/25/2020 4:34:26 PM","8/25/2020 12:34:25 PM","8/25/2020 4:34:25 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin\Castellani neuro case log.xlsx","Microsoft.PowerShell.Core\FileSystem::Y:\Cheryl-Erin","Castellani neuro case log.xlsx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Castellani neuro case log",,,"Castellani neuro case log.xlsx","Y:\Cheryl-Erin\Castellani neuro case log.xlsx",,"True",,".xlsx","8/25/2020 12:35:08 PM","8/25/2020 4:35:08 PM","8/27/2020 2:18:38 PM","8/27/2020 6:18:38 PM","8/27/2020 2:18:38 PM","8/27/2020 6:18:38 PM","Archive, NotContentIndexed"
