#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem","backup 12-22-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 12-22-2017",,,"backup 12-22-2017","Y:\aakinyem\backup 12-22-2017","aakinyem","True","Y:\","","12/22/2017 11:30:54 AM","12/22/2017 4:30:54 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Desktop",,,"Desktop","Y:\aakinyem\backup 12-22-2017\Desktop","backup 12-22-2017","True","Y:\","","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","6/5/2020 8:23:21 AM","6/5/2020 12:23:21 PM","6/5/2020 8:23:21 AM","6/5/2020 12:23:21 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Documents",,,"Documents","Y:\aakinyem\backup 12-22-2017\Documents","backup 12-22-2017","True","Y:\","","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","7/13/2020 5:11:27 PM","7/13/2020 9:11:27 PM","7/13/2020 5:11:27 PM","7/13/2020 9:11:27 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Favorites","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Favorites","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Favorites",,,"Favorites","Y:\aakinyem\backup 12-22-2017\Favorites","backup 12-22-2017","True","Y:\","","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Pictures",,,"Pictures","Y:\aakinyem\backup 12-22-2017\Pictures","backup 12-22-2017","True","Y:\","","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","9/21/2017 12:59:41 PM","9/21/2017 4:59:41 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Videos","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017","Videos","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Videos",,,"Videos","Y:\aakinyem\backup 12-22-2017\Videos","backup 12-22-2017","True","Y:\","","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","9/21/2017 12:59:41 PM","9/21/2017 4:59:41 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop\Adobe Photoshop CC.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop","Adobe Photoshop CC.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Adobe Photoshop CC",,,"Adobe Photoshop CC.lnk","Y:\aakinyem\backup 12-22-2017\Desktop\Adobe Photoshop CC.lnk",,"True",,".lnk","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","5/20/2014 10:47:50 AM","5/20/2014 2:47:50 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop\Google Chrome.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop","Google Chrome.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Google Chrome",,,"Google Chrome.lnk","Y:\aakinyem\backup 12-22-2017\Desktop\Google Chrome.lnk",,"True",,".lnk","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","8/3/2017 8:09:55 AM","8/3/2017 12:09:55 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop\LS.docx","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop","LS.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","LS",,,"LS.docx","Y:\aakinyem\backup 12-22-2017\Desktop\LS.docx",,"True",,".docx","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","8/25/2017 3:32:09 PM","8/25/2017 7:32:09 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop\Microsoft Excel 2010.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aakinyem\backup 12-22-2017\Desktop","Microsoft Excel 2010.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Microsoft Excel 2010",,,"Microsoft Excel 2010.lnk","Y:\aakinyem\backup 12-22-2017\Desktop\Microsoft Excel 2010.lnk",,"True",,".lnk","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","12/22/2017 11:31:12 AM","12/22/2017 4:31:12 PM","5/20/2014 9:39:25 AM","5/20/2014 1:39:25 PM","Archive, NotContentIndexed"
