#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer","backup 5-28-2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 5-28-2019",,,"backup 5-28-2019","Y:\aclemmer\backup 5-28-2019","aclemmer","True","Y:\","","5/28/2019 7:34:13 AM","5/28/2019 11:34:13 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\Contacts","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Contacts","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Contacts",,,"Contacts","Y:\aclemmer\backup 5-28-2019\Contacts","backup 5-28-2019","True","Y:\","","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Desktop",,,"Desktop","Y:\aclemmer\backup 5-28-2019\Desktop","backup 5-28-2019","True","Y:\","","5/28/2019 7:40:10 AM","5/28/2019 11:40:10 AM","5/28/2019 7:40:30 AM","5/28/2019 11:40:30 AM","5/28/2019 7:40:30 AM","5/28/2019 11:40:30 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Documents",,,"Documents","Y:\aclemmer\backup 5-28-2019\Documents","backup 5-28-2019","True","Y:\","","5/28/2019 7:40:34 AM","5/28/2019 11:40:34 AM","5/28/2019 7:40:44 AM","5/28/2019 11:40:44 AM","5/28/2019 7:40:44 AM","5/28/2019 11:40:44 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\Favorites","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Favorites","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Favorites",,,"Favorites","Y:\aclemmer\backup 5-28-2019\Favorites","backup 5-28-2019","True","Y:\","","5/28/2019 7:40:44 AM","5/28/2019 11:40:44 AM","5/28/2019 7:40:53 AM","5/28/2019 11:40:53 AM","5/28/2019 7:40:53 AM","5/28/2019 11:40:53 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\HP","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","HP","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","HP",,,"HP","Y:\aclemmer\backup 5-28-2019\HP","backup 5-28-2019","True","Y:\","","5/28/2019 7:40:53 AM","5/28/2019 11:40:53 AM","5/28/2019 7:41:16 AM","5/28/2019 11:41:16 AM","5/28/2019 7:41:16 AM","5/28/2019 11:41:16 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\kitchen","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","kitchen","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","kitchen",,,"kitchen","Y:\aclemmer\backup 5-28-2019\kitchen","backup 5-28-2019","True","Y:\","","5/28/2019 7:41:16 AM","5/28/2019 11:41:16 AM","5/28/2019 7:41:19 AM","5/28/2019 11:41:19 AM","5/28/2019 7:41:19 AM","5/28/2019 11:41:19 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Pictures",,,"Pictures","Y:\aclemmer\backup 5-28-2019\Pictures","backup 5-28-2019","True","Y:\","","5/28/2019 7:41:19 AM","5/28/2019 11:41:19 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","5/28/2019 7:41:24 AM","5/28/2019 11:41:24 AM","ReadOnly, Directory"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\bookmarks-2019-05-28.json","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","bookmarks-2019-05-28.json","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","bookmarks-2019-05-28",,,"bookmarks-2019-05-28.json","Y:\aclemmer\backup 5-28-2019\bookmarks-2019-05-28.json",,"True",,".json","5/28/2019 7:36:05 AM","5/28/2019 11:36:05 AM","5/28/2019 7:36:05 AM","5/28/2019 11:36:05 AM","5/28/2019 7:36:05 AM","5/28/2019 11:36:05 AM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019\chrome-bookmarks_5_28_19.html","Microsoft.PowerShell.Core\FileSystem::Y:\aclemmer\backup 5-28-2019","chrome-bookmarks_5_28_19.html","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","chrome-bookmarks_5_28_19",,,"chrome-bookmarks_5_28_19.html","Y:\aclemmer\backup 5-28-2019\chrome-bookmarks_5_28_19.html",,"True",,".html","5/28/2019 7:37:53 AM","5/28/2019 11:37:53 AM","5/28/2019 7:37:53 AM","5/28/2019 11:37:53 AM","5/28/2019 7:37:54 AM","5/28/2019 11:37:54 AM","Archive, NotContentIndexed"
