#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","backup 12-22-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 12-22-2017",,,"backup 12-22-2017","Y:\aha0012\backup 12-22-2017","aha0012","True","Y:\","","12/22/2017 11:32:02 AM","12/22/2017 4:32:02 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\CALL","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","CALL","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","CALL",,,"CALL","Y:\aha0012\CALL","aha0012","True","Y:\","","9/15/2017 1:25:00 PM","9/15/2017 5:25:00 PM","9/15/2017 1:25:06 PM","9/15/2017 5:25:06 PM","9/15/2017 1:25:06 PM","9/15/2017 5:25:06 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Cases files","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Cases files","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Cases files",,,"Cases files","Y:\aha0012\Cases files","aha0012","True","Y:\","","8/28/2017 7:51:38 AM","8/28/2017 11:51:38 AM","8/28/2017 7:51:57 AM","8/28/2017 11:51:57 AM","8/28/2017 7:51:57 AM","8/28/2017 11:51:57 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\DEL BACK","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","DEL BACK","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","DEL BACK",,,"DEL BACK","Y:\aha0012\DEL BACK","aha0012","True","Y:\","","7/5/2020 10:18:05 PM","7/6/2020 2:18:05 AM","7/5/2020 10:18:14 PM","7/6/2020 2:18:14 AM","7/5/2020 10:18:14 PM","7/6/2020 2:18:14 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Skin WVU","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Skin WVU","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Skin WVU",,,"Skin WVU","Y:\aha0012\Skin WVU","aha0012","True","Y:\","","8/18/2017 5:52:44 PM","8/18/2017 9:52:44 PM","12/15/2017 9:00:53 AM","12/15/2017 2:00:53 PM","12/15/2017 9:00:53 AM","12/15/2017 2:00:53 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\WORK 5-2017","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","WORK 5-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","WORK 5-2017",,,"WORK 5-2017","Y:\aha0012\WORK 5-2017","aha0012","True","Y:\","","5/27/2017 4:22:46 PM","5/27/2017 8:22:46 PM","8/17/2017 1:11:11 PM","8/17/2017 5:11:11 PM","8/17/2017 1:11:11 PM","8/17/2017 5:11:11 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\WORK DESKTOP FINAL","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","WORK DESKTOP FINAL","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","WORK DESKTOP FINAL",,,"WORK DESKTOP FINAL","Y:\aha0012\WORK DESKTOP FINAL","aha0012","True","Y:\","","6/26/2020 12:19:29 PM","6/26/2020 4:19:29 PM","6/26/2020 12:51:27 PM","6/26/2020 4:51:27 PM","6/26/2020 12:51:27 PM","6/26/2020 4:51:27 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Connect.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Connect.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Connect",,,"Connect.lnk","Y:\aha0012\Connect.lnk",,"True",,".lnk","11/29/2018 6:15:05 PM","11/29/2018 11:15:05 PM","6/18/2019 7:49:05 AM","6/18/2019 11:49:05 AM","11/29/2018 6:15:05 PM","11/29/2018 11:15:05 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\DEPARTMENT PHONE LIST 2019.xlsx","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","DEPARTMENT PHONE LIST 2019.xlsx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","DEPARTMENT PHONE LIST 2019",,,"DEPARTMENT PHONE LIST 2019.xlsx","Y:\aha0012\DEPARTMENT PHONE LIST 2019.xlsx",,"True",,".xlsx","9/1/2017 10:17:50 AM","9/1/2017 2:17:50 PM","6/18/2019 7:51:25 AM","6/18/2019 11:51:25 AM","1/24/2019 8:12:52 AM","1/24/2019 1:12:52 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Evaluation 12-2018.pdf","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Evaluation 12-2018.pdf","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Evaluation 12-2018",,,"Evaluation 12-2018.pdf","Y:\aha0012\Evaluation 12-2018.pdf",,"True",,".pdf","12/7/2018 8:01:01 AM","12/7/2018 1:01:01 PM","6/18/2019 7:49:46 AM","6/18/2019 11:49:46 AM","12/7/2018 8:01:01 AM","12/7/2018 1:01:01 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Intersting cases.docx","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Intersting cases.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Intersting cases",,,"Intersting cases.docx","Y:\aha0012\Intersting cases.docx",,"True",,".docx","8/14/2017 1:36:49 PM","8/14/2017 5:36:49 PM","8/17/2017 9:29:58 AM","8/17/2017 1:29:58 PM","8/15/2017 10:03:08 AM","8/15/2017 2:03:08 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\JC - SF3B1.pptx","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","JC - SF3B1.pptx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","JC - SF3B1",,,"JC - SF3B1.pptx","Y:\aha0012\JC - SF3B1.pptx",,"True",,".pptx","8/2/2018 11:17:29 AM","8/2/2018 3:17:29 PM","8/2/2018 11:17:29 AM","8/2/2018 3:17:29 PM","8/2/2018 11:14:06 AM","8/2/2018 3:14:06 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\jo naza.pptx","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","jo naza.pptx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","jo naza",,,"jo naza.pptx","Y:\aha0012\jo naza.pptx",,"True",,".pptx","8/2/2018 11:17:29 AM","8/2/2018 3:17:29 PM","8/2/2018 11:17:29 AM","8/2/2018 3:17:29 PM","8/2/2018 11:14:07 AM","8/2/2018 3:14:07 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\QGenda.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","QGenda.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","QGenda",,,"QGenda.lnk","Y:\aha0012\QGenda.lnk",,"True",,".lnk","12/19/2018 4:32:23 PM","12/19/2018 9:32:23 PM","6/18/2019 7:49:11 AM","6/18/2019 11:49:11 AM","12/19/2018 4:32:23 PM","12/19/2018 9:32:23 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\Sign In.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012","Sign In.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Sign In",,,"Sign In.lnk","Y:\aha0012\Sign In.lnk",,"True",,".lnk","11/25/2018 12:46:09 PM","11/25/2018 5:46:09 PM","6/18/2019 7:49:22 AM","6/18/2019 11:49:22 AM","11/25/2018 12:46:09 PM","11/25/2018 5:46:09 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Desktop",,,"Desktop","Y:\aha0012\backup 12-22-2017\Desktop","backup 12-22-2017","True","Y:\","","12/22/2017 11:32:22 AM","12/22/2017 4:32:22 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Documents",,,"Documents","Y:\aha0012\backup 12-22-2017\Documents","backup 12-22-2017","True","Y:\","","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","9/20/2017 11:40:14 PM","9/21/2017 3:40:14 AM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Favorites","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Favorites","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Favorites",,,"Favorites","Y:\aha0012\backup 12-22-2017\Favorites","backup 12-22-2017","True","Y:\","","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Pictures",,,"Pictures","Y:\aha0012\backup 12-22-2017\Pictures","backup 12-22-2017","True","Y:\","","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","12/22/2017 11:32:23 AM","12/22/2017 4:32:23 PM","9/20/2017 11:40:14 PM","9/21/2017 3:40:14 AM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Videos","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017","Videos","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Videos",,,"Videos","Y:\aha0012\backup 12-22-2017\Videos","backup 12-22-2017","True","Y:\","","12/22/2017 11:32:22 AM","12/22/2017 4:32:22 PM","12/22/2017 11:32:22 AM","12/22/2017 4:32:22 PM","9/20/2017 11:40:14 PM","9/21/2017 3:40:14 AM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Desktop\Adobe Photoshop CC.lnk","Microsoft.PowerShell.Core\FileSystem::Y:\aha0012\backup 12-22-2017\Desktop","Adobe Photoshop CC.lnk","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Adobe Photoshop CC",,,"Adobe Photoshop CC.lnk","Y:\aha0012\backup 12-22-2017\Desktop\Adobe Photoshop CC.lnk",,"True",,".lnk","12/22/2017 11:32:22 AM","12/22/2017 4:32:22 PM","12/22/2017 11:32:22 AM","12/22/2017 4:32:22 PM","5/20/2014 10:47:50 AM","5/20/2014 2:47:50 PM","Archive, NotContentIndexed"
