#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057","backup 12-19-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 12-19-2017",,,"backup 12-19-2017","Y:\amp0057\backup 12-19-2017","amp0057","True","Y:\","","12/19/2017 9:12:50 AM","12/19/2017 2:12:50 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\A2 H&E_FIT_09_36_47_6.png","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057","A2 H&E_FIT_09_36_47_6.png","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","A2 H&E_FIT_09_36_47_6",,,"A2 H&E_FIT_09_36_47_6.png","Y:\amp0057\A2 H&E_FIT_09_36_47_6.png",,"True",,".png","11/22/2017 9:38:21 AM","11/22/2017 2:38:21 PM","11/22/2017 9:38:21 AM","11/22/2017 2:38:21 PM","11/22/2017 9:37:25 AM","11/22/2017 2:37:25 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Desktop",,,"Desktop","Y:\amp0057\backup 12-19-2017\Desktop","backup 12-19-2017","True","Y:\","","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:12 AM","12/19/2017 2:13:12 PM","12/19/2017 9:13:12 AM","12/19/2017 2:13:12 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Documents",,,"Documents","Y:\amp0057\backup 12-19-2017\Documents","backup 12-19-2017","True","Y:\","","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:12 AM","12/19/2017 2:13:12 PM","12/19/2017 9:13:12 AM","12/19/2017 2:13:12 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Favorites","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017","Favorites","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Favorites",,,"Favorites","Y:\amp0057\backup 12-19-2017\Favorites","backup 12-19-2017","True","Y:\","","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Pictures","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017","Pictures","Y","Microsoft.PowerShell.Core\FileSystem","True","d-r---","Pictures",,,"Pictures","Y:\amp0057\backup 12-19-2017\Pictures","backup 12-19-2017","True","Y:\","","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","9/21/2017 11:45:33 AM","9/21/2017 3:45:33 PM","ReadOnly, Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop\Andrew Plata","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop","Andrew Plata","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Andrew Plata",,,"Andrew Plata","Y:\amp0057\backup 12-19-2017\Desktop\Andrew Plata","Desktop","True","Y:\","","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","9/21/2017 4:53:04 PM","9/21/2017 8:53:04 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop\A2 H&E_FIT_09_36_47_6.png","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop","A2 H&E_FIT_09_36_47_6.png","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","A2 H&E_FIT_09_36_47_6",,,"A2 H&E_FIT_09_36_47_6.png","Y:\amp0057\backup 12-19-2017\Desktop\A2 H&E_FIT_09_36_47_6.png",,"True",,".png","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","11/22/2017 9:37:25 AM","11/22/2017 2:37:25 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop\Autopsy Micro Descriptions.docx","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop","Autopsy Micro Descriptions.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Autopsy Micro Descriptions",,,"Autopsy Micro Descriptions.docx","Y:\amp0057\backup 12-19-2017\Desktop\Autopsy Micro Descriptions.docx",,"True",,".docx","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/6/2017 9:36:47 AM","12/6/2017 2:36:47 PM","Archive, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop\Epithelial Neoplasms.docx","Microsoft.PowerShell.Core\FileSystem::Y:\amp0057\backup 12-19-2017\Desktop","Epithelial Neoplasms.docx","Y","Microsoft.PowerShell.Core\FileSystem","False","-a----","Epithelial Neoplasms",,,"Epithelial Neoplasms.docx","Y:\amp0057\backup 12-19-2017\Desktop\Epithelial Neoplasms.docx",,"True",,".docx","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","12/19/2017 9:13:11 AM","12/19/2017 2:13:11 PM","9/21/2017 5:56:37 PM","9/21/2017 9:56:37 PM","Archive, NotContentIndexed"
