#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\backup 8-31-2017","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","backup 8-31-2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 8-31-2017",,,"backup 8-31-2017","Y:\asmittle\backup 8-31-2017","asmittle","True","Y:\","","12/16/2019 7:47:31 AM","12/16/2019 12:47:31 PM","12/16/2019 8:59:10 AM","12/16/2019 1:59:10 PM","12/16/2019 8:59:10 AM","12/16/2019 1:59:10 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\DAR","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","DAR","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","DAR",,,"DAR","Y:\asmittle\DAR","asmittle","True","Y:\","","12/16/2019 7:47:33 AM","12/16/2019 12:47:33 PM","6/8/2020 7:22:49 AM","6/8/2020 11:22:49 AM","6/8/2020 7:22:49 AM","6/8/2020 11:22:49 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\DAR GEP","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","DAR GEP","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","DAR GEP",,,"DAR GEP","Y:\asmittle\DAR GEP","asmittle","True","Y:\","","12/16/2019 7:47:50 AM","12/16/2019 12:47:50 PM","12/16/2019 8:59:56 AM","12/16/2019 1:59:56 PM","12/16/2019 8:59:56 AM","12/16/2019 1:59:56 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\Desktop","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","Desktop","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Desktop",,,"Desktop","Y:\asmittle\Desktop","asmittle","True","Y:\","","12/16/2019 7:47:53 AM","12/16/2019 12:47:53 PM","12/16/2019 8:59:57 AM","12/16/2019 1:59:57 PM","12/16/2019 8:59:57 AM","12/16/2019 1:59:57 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\Documents","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","Documents","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Documents",,,"Documents","Y:\asmittle\Documents","asmittle","True","Y:\","","12/16/2019 7:47:54 AM","12/16/2019 12:47:54 PM","8/27/2020 7:39:02 AM","8/27/2020 11:39:02 AM","8/27/2020 7:39:02 AM","8/27/2020 11:39:02 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\Genealogy Stuff","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","Genealogy Stuff","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Genealogy Stuff",,,"Genealogy Stuff","Y:\asmittle\Genealogy Stuff","asmittle","True","Y:\","","12/16/2019 7:47:58 AM","12/16/2019 12:47:58 PM","7/7/2020 12:06:00 PM","7/7/2020 4:06:00 PM","7/7/2020 12:06:00 PM","7/7/2020 4:06:00 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\Heme Scheduling","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","Heme Scheduling","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Heme Scheduling",,,"Heme Scheduling","Y:\asmittle\Heme Scheduling","asmittle","True","Y:\","","12/16/2019 7:48:26 AM","12/16/2019 12:48:26 PM","12/16/2019 9:01:37 AM","12/16/2019 2:01:37 PM","12/16/2019 9:01:37 AM","12/16/2019 2:01:37 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\Lineage Societies","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","Lineage Societies","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Lineage Societies",,,"Lineage Societies","Y:\asmittle\Lineage Societies","asmittle","True","Y:\","","12/16/2019 7:48:26 AM","12/16/2019 12:48:26 PM","12/16/2019 9:01:44 AM","12/16/2019 2:01:44 PM","12/16/2019 9:01:44 AM","12/16/2019 2:01:44 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\MS4 Students Information","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","MS4 Students Information","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","MS4 Students Information",,,"MS4 Students Information","Y:\asmittle\MS4 Students Information","asmittle","True","Y:\","","12/16/2019 7:48:29 AM","12/16/2019 12:48:29 PM","12/16/2019 9:01:45 AM","12/16/2019 2:01:45 PM","12/16/2019 9:01:45 AM","12/16/2019 2:01:45 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\asmittle\other-docs","Microsoft.PowerShell.Core\FileSystem::Y:\asmittle","other-docs","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","other-docs",,,"other-docs","Y:\asmittle\other-docs","asmittle","True","Y:\","","12/16/2019 7:48:30 AM","12/16/2019 12:48:30 PM","12/16/2019 9:01:51 AM","12/16/2019 2:01:51 PM","12/16/2019 9:01:51 AM","12/16/2019 2:01:51 PM","Directory, NotContentIndexed"
