#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Application_phD","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Application_phD","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Application_phD",,,"Application_phD","Y:\battistellal\Application_phD","battistellal","True","Y:\","","8/7/2019 11:28:41 AM","8/7/2019 3:28:41 PM","1/23/2020 1:35:20 PM","1/23/2020 6:35:20 PM","1/23/2020 1:35:20 PM","1/23/2020 6:35:20 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Application_TSP","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Application_TSP","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Application_TSP",,,"Application_TSP","Y:\battistellal\Application_TSP","battistellal","True","Y:\","","7/1/2019 3:38:00 PM","7/1/2019 7:38:00 PM","1/22/2020 4:32:26 PM","1/22/2020 9:32:26 PM","1/22/2020 4:32:26 PM","1/22/2020 9:32:26 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\ASCP","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","ASCP","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","ASCP",,,"ASCP","Y:\battistellal\ASCP","battistellal","True","Y:\","","5/3/2019 9:52:29 AM","5/3/2019 1:52:29 PM","7/24/2019 3:55:53 PM","7/24/2019 7:55:53 PM","7/24/2019 3:55:53 PM","7/24/2019 7:55:53 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Capstone_PALM475","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Capstone_PALM475","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Capstone_PALM475",,,"Capstone_PALM475","Y:\battistellal\Capstone_PALM475","battistellal","True","Y:\","","1/15/2020 12:14:29 PM","1/15/2020 5:14:29 PM","1/17/2020 11:41:53 AM","1/17/2020 4:41:53 PM","1/17/2020 11:41:53 AM","1/17/2020 4:41:53 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Chemistry","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Chemistry","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Chemistry",,,"Chemistry","Y:\battistellal\Chemistry","battistellal","True","Y:\","","2/1/2019 3:58:18 PM","2/1/2019 8:58:18 PM","8/10/2020 12:33:48 PM","8/10/2020 4:33:48 PM","8/10/2020 12:33:48 PM","8/10/2020 4:33:48 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Chemistry_protocol","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Chemistry_protocol","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Chemistry_protocol",,,"Chemistry_protocol","Y:\battistellal\Chemistry_protocol","battistellal","True","Y:\","","1/29/2019 1:09:31 PM","1/29/2019 6:09:31 PM","1/29/2019 1:09:56 PM","1/29/2019 6:09:56 PM","1/29/2019 1:09:56 PM","1/29/2019 6:09:56 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Cytogenetic_lecture","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Cytogenetic_lecture","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Cytogenetic_lecture",,,"Cytogenetic_lecture","Y:\battistellal\Cytogenetic_lecture","battistellal","True","Y:\","","1/29/2019 1:02:58 PM","1/29/2019 6:02:58 PM","2/11/2020 12:52:21 PM","2/11/2020 5:52:21 PM","2/11/2020 12:52:21 PM","2/11/2020 5:52:21 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Digital_measure","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Digital_measure","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Digital_measure",,,"Digital_measure","Y:\battistellal\Digital_measure","battistellal","True","Y:\","","2/13/2019 2:32:16 PM","2/13/2019 7:32:16 PM","1/22/2020 4:39:13 PM","1/22/2020 9:39:13 PM","1/22/2020 4:39:13 PM","1/22/2020 9:39:13 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Download","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Download","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Download",,,"Download","Y:\battistellal\Download","battistellal","True","Y:\","","5/13/2019 12:29:16 PM","5/13/2019 4:29:16 PM","2/27/2020 10:57:08 AM","2/27/2020 3:57:08 PM","2/27/2020 10:57:08 AM","2/27/2020 3:57:08 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\battistellal\Dr.Butina_meeting","Microsoft.PowerShell.Core\FileSystem::Y:\battistellal","Dr.Butina_meeting","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Dr.Butina_meeting",,,"Dr.Butina_meeting","Y:\battistellal\Dr.Butina_meeting","battistellal","True","Y:\",".Butina_meeting","1/29/2019 3:57:56 PM","1/29/2019 8:57:56 PM","1/29/2019 4:09:04 PM","1/29/2019 9:09:04 PM","1/29/2019 4:09:04 PM","1/29/2019 9:09:04 PM","Directory, NotContentIndexed"
