#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\8-28-2019","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","8-28-2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","8-28-2019",,,"8-28-2019","Y:\catitus\8-28-2019","catitus","True","Y:\","","8/28/2019 11:07:33 AM","8/28/2019 3:07:33 PM","8/28/2019 11:18:45 AM","8/28/2019 3:18:45 PM","8/28/2019 11:18:45 AM","8/28/2019 3:18:45 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Bloodbank","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Bloodbank","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Bloodbank",,,"Bloodbank","Y:\catitus\Bloodbank","catitus","True","Y:\","","9/21/2018 3:19:41 PM","9/21/2018 7:19:41 PM","9/21/2018 3:19:41 PM","9/21/2018 7:19:41 PM","9/21/2018 3:19:41 PM","9/21/2018 7:19:41 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\BodyFluids","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","BodyFluids","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","BodyFluids",,,"BodyFluids","Y:\catitus\BodyFluids","catitus","True","Y:\","","9/21/2018 3:20:09 PM","9/21/2018 7:20:09 PM","2/24/2020 12:26:14 PM","2/24/2020 5:26:14 PM","2/24/2020 12:26:14 PM","2/24/2020 5:26:14 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Chemistry","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Chemistry","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Chemistry",,,"Chemistry","Y:\catitus\Chemistry","catitus","True","Y:\","","9/21/2018 3:20:42 PM","9/21/2018 7:20:42 PM","9/24/2018 11:57:18 AM","9/24/2018 3:57:18 PM","9/24/2018 11:57:18 AM","9/24/2018 3:57:18 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Class of 2017","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Class of 2017","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Class of 2017",,,"Class of 2017","Y:\catitus\Class of 2017","catitus","True","Y:\","","9/21/2018 3:21:02 PM","9/21/2018 7:21:02 PM","9/21/2018 3:24:11 PM","9/21/2018 7:24:11 PM","9/21/2018 3:24:11 PM","9/21/2018 7:24:11 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Class of 2018","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Class of 2018","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Class of 2018",,,"Class of 2018","Y:\catitus\Class of 2018","catitus","True","Y:\","","9/21/2018 3:21:24 PM","9/21/2018 7:21:24 PM","9/21/2018 3:21:26 PM","9/21/2018 7:21:26 PM","9/21/2018 3:21:26 PM","9/21/2018 7:21:26 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Class of 2019","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Class of 2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Class of 2019",,,"Class of 2019","Y:\catitus\Class of 2019","catitus","True","Y:\","","9/21/2018 3:21:39 PM","9/21/2018 7:21:39 PM","9/21/2018 3:21:41 PM","9/21/2018 7:21:41 PM","9/21/2018 3:21:41 PM","9/21/2018 7:21:41 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Class of 2020","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Class of 2020","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Class of 2020",,,"Class of 2020","Y:\catitus\Class of 2020","catitus","True","Y:\","","9/21/2018 3:21:51 PM","9/21/2018 7:21:51 PM","9/21/2018 3:21:51 PM","9/21/2018 7:21:51 PM","9/21/2018 3:21:51 PM","9/21/2018 7:21:51 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Curriculum","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Curriculum","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Curriculum",,,"Curriculum","Y:\catitus\Curriculum","catitus","True","Y:\","","9/21/2018 3:22:05 PM","9/21/2018 7:22:05 PM","9/21/2018 3:22:05 PM","9/21/2018 7:22:05 PM","9/21/2018 3:22:05 PM","9/21/2018 7:22:05 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Custom Office Templates","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Custom Office Templates","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Custom Office Templates",,,"Custom Office Templates","Y:\catitus\Custom Office Templates","catitus","True","Y:\","","9/21/2018 3:22:27 PM","9/21/2018 7:22:27 PM","9/21/2018 3:22:27 PM","9/21/2018 7:22:27 PM","8/8/2017 10:33:42 AM","8/8/2017 2:33:42 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\PC","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","PC","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PC",,,"PC","Y:\catitus\PC","catitus","True","Y:\","","9/21/2018 3:22:47 PM","9/21/2018 7:22:47 PM","9/21/2018 3:24:18 PM","9/21/2018 7:24:18 PM","9/21/2018 3:24:18 PM","9/21/2018 7:24:18 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\catitus\Phlebotomy Rotations","Microsoft.PowerShell.Core\FileSystem::Y:\catitus","Phlebotomy Rotations","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Phlebotomy Rotations",,,"Phlebotomy Rotations","Y:\catitus\Phlebotomy Rotations","catitus","True","Y:\","","9/21/2018 3:23:00 PM","9/21/2018 7:23:00 PM","9/21/2018 3:23:12 PM","9/21/2018 7:23:12 PM","9/21/2018 3:23:12 PM","9/21/2018 7:23:12 PM","Directory, NotContentIndexed"
