#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\backup 2-28-2019","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","backup 2-28-2019","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","backup 2-28-2019",,,"backup 2-28-2019","Y:\cboykin\backup 2-28-2019","cboykin","True","Y:\","","2/28/2019 10:36:46 AM","2/28/2019 3:36:46 PM","2/28/2019 10:50:05 AM","2/28/2019 3:50:05 PM","2/28/2019 10:50:05 AM","2/28/2019 3:50:05 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\CB","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","CB","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","CB",,,"CB","Y:\cboykin\CB","cboykin","True","Y:\","","4/4/2017 4:01:07 PM","4/4/2017 8:01:07 PM","4/4/2017 4:01:36 PM","4/4/2017 8:01:36 PM","4/4/2017 4:01:36 PM","4/4/2017 8:01:36 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\E-mail Archive","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","E-mail Archive","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","E-mail Archive",,,"E-mail Archive","Y:\cboykin\E-mail Archive","cboykin","True","Y:\","","11/11/2015 4:21:07 PM","11/11/2015 9:21:07 PM","11/11/2015 4:21:08 PM","11/11/2015 9:21:08 PM","4/25/2014 5:00:27 PM","4/25/2014 9:00:27 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\Gross Manual Final","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","Gross Manual Final","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Gross Manual Final",,,"Gross Manual Final","Y:\cboykin\Gross Manual Final","cboykin","True","Y:\","","2/27/2018 5:02:40 PM","2/27/2018 10:02:40 PM","2/27/2018 5:02:40 PM","2/27/2018 10:02:40 PM","2/27/2018 5:02:40 PM","2/27/2018 10:02:40 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\HSC-computer-backup","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","HSC-computer-backup","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","HSC-computer-backup",,,"HSC-computer-backup","Y:\cboykin\HSC-computer-backup","cboykin","True","Y:\","","12/10/2018 8:13:29 AM","12/10/2018 1:13:29 PM","12/10/2018 8:14:12 AM","12/10/2018 1:14:12 PM","12/10/2018 8:14:12 AM","12/10/2018 1:14:12 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\Old PA Class Info","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","Old PA Class Info","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","Old PA Class Info",,,"Old PA Class Info","Y:\cboykin\Old PA Class Info","cboykin","True","Y:\","","3/22/2016 9:17:48 AM","3/22/2016 1:17:48 PM","1/17/2018 11:47:41 AM","1/17/2018 4:47:41 PM","1/17/2018 11:47:41 AM","1/17/2018 4:47:41 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\P&T","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","P&T","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","P&T",,,"P&T","Y:\cboykin\P&T","cboykin","True","Y:\","","3/22/2016 9:17:10 AM","3/22/2016 1:17:10 PM","3/22/2016 9:17:13 AM","3/22/2016 1:17:13 PM","3/22/2016 9:17:13 AM","3/22/2016 1:17:13 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\PA Class of 2016","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","PA Class of 2016","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PA Class of 2016",,,"PA Class of 2016","Y:\cboykin\PA Class of 2016","cboykin","True","Y:\","","3/22/2016 9:17:35 AM","3/22/2016 1:17:35 PM","3/22/2016 9:17:36 AM","3/22/2016 1:17:36 PM","3/22/2016 9:17:36 AM","3/22/2016 1:17:36 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\PA Classes","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","PA Classes","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","PA Classes",,,"PA Classes","Y:\cboykin\PA Classes","cboykin","True","Y:\","","3/22/2016 9:09:46 AM","3/22/2016 1:09:46 PM","1/9/2018 3:01:27 PM","1/9/2018 8:01:27 PM","1/9/2018 3:01:27 PM","1/9/2018 8:01:27 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::Y:\cboykin\UPMC Presentation","Microsoft.PowerShell.Core\FileSystem::Y:\cboykin","UPMC Presentation","Y","Microsoft.PowerShell.Core\FileSystem","True","d-----","UPMC Presentation",,,"UPMC Presentation","Y:\cboykin\UPMC Presentation","cboykin","True","Y:\","","3/8/2017 3:57:39 PM","3/8/2017 8:57:39 PM","9/25/2018 2:47:10 PM","9/25/2018 6:47:10 PM","9/25/2018 2:47:10 PM","9/25/2018 6:47:10 PM","Directory, NotContentIndexed"
