#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\bpalmer","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","bpalmer","Microsoft.PowerShell.Core\FileSystem","True","d-----","bpalmer",,,"bpalmer","\\hs-bassci\bassci\anat\bpalmer","anat","True","\\hs-bassci\bassci","","12/8/2015 3:58:34 PM","12/8/2015 8:58:34 PM","7/16/2020 11:09:59 AM","7/16/2020 3:09:59 PM","7/16/2020 11:09:59 AM","7/16/2020 3:09:59 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\cajohnson","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","cajohnson","Microsoft.PowerShell.Core\FileSystem","True","d-----","cajohnson",,,"cajohnson","\\hs-bassci\bassci\anat\cajohnson","anat","True","\\hs-bassci\bassci","","12/8/2015 4:08:15 PM","12/8/2015 9:08:15 PM","12/8/2015 4:08:15 PM","12/8/2015 9:08:15 PM","3/13/2014 9:14:02 AM","3/13/2014 1:14:02 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dcastrodale-anat","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","dcastrodale-anat","Microsoft.PowerShell.Core\FileSystem","True","d-----","dcastrodale-anat",,,"dcastrodale-anat","\\hs-bassci\bassci\anat\dcastrodale-anat","anat","True","\\hs-bassci\bassci","","7/19/2017 1:36:29 PM","7/19/2017 5:36:29 PM","10/12/2017 11:32:42 AM","10/12/2017 3:32:42 PM","10/12/2017 11:32:42 AM","10/12/2017 3:32:42 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dhunter","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","dhunter","Microsoft.PowerShell.Core\FileSystem","True","d-----","dhunter",,,"dhunter","\\hs-bassci\bassci\anat\dhunter","anat","True","\\hs-bassci\bassci","","12/8/2015 5:54:46 PM","12/8/2015 10:54:46 PM","12/8/2015 5:54:46 PM","12/8/2015 10:54:46 PM","10/22/2011 4:39:57 PM","10/22/2011 8:39:57 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\dictionary","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","dictionary","Microsoft.PowerShell.Core\FileSystem","True","d-----","dictionary",,,"dictionary","\\hs-bassci\bassci\anat\dictionary","anat","True","\\hs-bassci\bassci","","2/21/2020 1:08:39 PM","2/21/2020 6:08:39 PM","2/21/2020 1:08:39 PM","2/21/2020 6:08:39 PM","2/21/2020 1:08:39 PM","2/21/2020 6:08:39 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\Fetal","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","Fetal","Microsoft.PowerShell.Core\FileSystem","True","d-----","Fetal",,,"Fetal","\\hs-bassci\bassci\anat\Fetal","anat","True","\\hs-bassci\bassci","","2/10/2020 2:21:39 PM","2/10/2020 7:21:39 PM","2/28/2020 8:20:58 PM","2/29/2020 1:20:58 AM","2/28/2020 8:20:58 PM","2/29/2020 1:20:58 AM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\GKONAT","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","GKONAT","Microsoft.PowerShell.Core\FileSystem","True","d-----","GKONAT",,,"GKONAT","\\hs-bassci\bassci\anat\GKONAT","anat","True","\\hs-bassci\bassci","","12/8/2015 6:29:48 PM","12/8/2015 11:29:48 PM","12/8/2015 6:30:10 PM","12/8/2015 11:30:10 PM","1/7/2014 3:01:02 PM","1/7/2014 8:01:02 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\hbillings","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","hbillings","Microsoft.PowerShell.Core\FileSystem","True","d-----","hbillings",,,"hbillings","\\hs-bassci\bassci\anat\hbillings","anat","True","\\hs-bassci\bassci","","12/8/2015 6:31:02 PM","12/8/2015 11:31:02 PM","12/8/2015 6:31:02 PM","12/8/2015 11:31:02 PM","10/22/2011 4:51:29 PM","10/22/2011 8:51:29 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\HGR","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","HGR","Microsoft.PowerShell.Core\FileSystem","True","d-----","HGR",,,"HGR","\\hs-bassci\bassci\anat\HGR","anat","True","\\hs-bassci\bassci","","12/8/2015 6:31:02 PM","12/8/2015 11:31:02 PM","8/27/2018 9:32:34 AM","8/27/2018 1:32:34 PM","8/27/2018 9:32:34 AM","8/27/2018 1:32:34 PM","Directory, NotContentIndexed"
"Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat\hressetar","Microsoft.PowerShell.Core\FileSystem::\\hs-bassci\bassci\anat","hressetar","Microsoft.PowerShell.Core\FileSystem","True","d-----","hressetar",,,"hressetar","\\hs-bassci\bassci\anat\hressetar","anat","True","\\hs-bassci\bassci","","12/8/2015 6:31:18 PM","12/8/2015 11:31:18 PM","12/8/2015 6:31:18 PM","12/8/2015 11:31:18 PM","10/22/2011 4:51:37 PM","10/22/2011 8:51:37 PM","Directory, NotContentIndexed"
