#TYPE Deserialized.Microsoft.Exchange.Management.RecipientTasks.MailboxAcePresentationObject
"PSComputerName","RunspaceId","PSShowComputerName","AccessRights","Deny","InheritanceType","User","Identity","IsInherited","IsValid","ObjectState"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, ReadPermission","False","None","NT AUTHORITY\SELF","camctest","False","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, ExternalAccount, ReadPermission","False","Descendents","NT AUTHORITY\SELF","camctest","False","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","False","All","camctest@wvuhsc.onmicrosoft.com","camctest","False","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","True","All","NAMPRD05\Administrator","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","True","All","NAMPRD05\Domain Admins","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","True","All","NAMPRD05\Enterprise Admins","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","True","All","NAMPRD05\Organization Management","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess","False","All","NT AUTHORITY\SYSTEM","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","ReadPermission","False","All","NT AUTHORITY\NETWORK SERVICE","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","ReadPermission","False","All","S-1-5-21-1589316702-2032257147-3807288276-5106","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","ReadPermission","False","All","PRDTSB01\JitUsers","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, DeleteItem, ReadPermission, ChangePermission, ChangeOwner","False","All","NAMPRD05\Administrator","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, DeleteItem, ReadPermission, ChangePermission, ChangeOwner","False","All","NAMPRD05\Domain Admins","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, DeleteItem, ReadPermission, ChangePermission, ChangeOwner","False","All","NAMPRD05\Enterprise Admins","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, DeleteItem, ReadPermission, ChangePermission, ChangeOwner","False","All","NAMPRD05\Organization Management","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","ReadPermission","False","All","NAMPRD05\Public Folder Management","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, ReadPermission","False","All","NAMPRD05\Exchange Servers","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","FullAccess, DeleteItem, ReadPermission, ChangePermission, ChangeOwner","False","All","NAMPRD05\Exchange Trusted Subsystem","camctest","True","True","Unchanged"
"ps.outlook.com","3d96f2b9-6bd7-4804-8c46-17312b842aa1","False","ReadPermission","False","All","NAMPRD05\Managed Availability Servers","camctest","True","True","Unchanged"
