#TYPE System.Management.Automation.PSCustomObject
"SamAccountNameFromFile","HSPasswordLastSet","WVUHSPasswordLastSet"
"aaa0077","2/10/2021 12:39:59 PM","2/10/2021 12:39:12 PM"
"aak00001","5/5/2021 4:18:26 PM","5/10/2021 3:46:16 PM"
"ad00055","5/12/2021 12:10:10 AM","4/27/2021 8:43:30 PM"
"ad0098","5/3/2021 2:32:50 PM","5/3/2021 2:22:26 PM"
"ade00005","5/1/2021 4:31:54 AM","5/14/2021 10:29:38 AM"
"aef00010","5/1/2021 4:29:18 AM","4/27/2021 8:47:47 PM"
"aek00015","5/7/2021 4:16:20 PM","5/12/2021 3:01:45 PM"
"aeo00003","UserNotFound","UserNotFound"
"aet00009","5/6/2021 2:28:46 AM","5/6/2021 2:28:32 AM"
"aga00009","5/18/2021 9:30:33 PM","4/28/2021 1:51:31 PM"
"ahm00011","5/20/2021 3:37:34 PM","5/17/2021 2:23:37 PM"
"ais0005","7/20/2020 12:58:45 PM","5/11/2021 1:15:21 AM"
"aka00014","5/12/2021 4:59:27 PM","5/12/2021 4:59:12 PM"
"akp0009","5/20/2021 2:50:53 PM","7/9/2020 12:05:34 PM"
"alorenz2","9/22/2020 12:41:57 PM","9/22/2020 12:41:41 PM"
"am00137","5/1/2021 4:33:17 AM","5/6/2021 9:05:48 PM"
"am100041","UserNotFound","UserNotFound"
"amkessler","10/28/2020 4:32:12 PM","11/4/2019 5:31:47 PM"
"amr00050","5/6/2021 12:05:06 PM","5/6/2021 12:04:41 PM"
"an00021","5/14/2021 4:57:04 PM","5/14/2021 4:22:36 PM"
"apb00016","5/14/2021 10:05:53 AM","5/14/2021 12:14:34 AM"
"apd00013","5/1/2021 4:29:12 AM","5/20/2021 2:51:17 PM"
"ar0091","6/30/2020 2:12:51 PM","8/31/2020 12:56:37 PM"
"ate00001","5/7/2020 3:38:02 PM","5/2/2021 10:25:22 PM"
"av0034","7/27/2020 1:32:53 PM","5/12/2021 2:41:33 PM"
"bam00036","5/19/2021 2:11:03 PM","5/18/2021 2:05:32 PM"
"bbarnet4","11/3/2020 11:20:22 PM","5/12/2021 3:00:48 PM"
"bbertus","6/26/2020 7:56:39 AM","5/3/2021 7:54:05 AM"
"bcw0025","2/11/2021 12:46:32 PM","2/11/2021 12:45:56 PM"
"becottrill","10/31/2020 10:09:03 AM","6/27/2019 3:06:56 PM"
"bglover6","8/17/2020 7:53:25 PM","12/22/2017 3:59:40 PM"
"bgy00001","5/12/2021 12:32:01 PM","5/12/2021 12:31:40 PM"
"bjf00007","5/20/2021 3:01:56 PM","5/20/2021 3:07:51 PM"
"bp00023","5/5/2021 11:22:48 PM","5/5/2021 11:08:17 PM"
"bps00012","5/1/2021 4:34:05 AM","5/20/2021 12:56:58 PM"
"cae00011","5/17/2021 11:57:52 AM","5/13/2021 4:57:02 PM"
"cb00001","5/12/2021 4:21:26 PM","5/13/2021 10:29:05 AM"
"cbh00014","5/12/2021 2:26:05 PM","5/12/2021 2:25:43 PM"
"ces00034","5/17/2021 4:07:13 PM","5/17/2021 3:56:59 PM"
"cfeghal1","8/18/2020 8:46:52 PM","6/21/2020 11:06:53 AM"
"cjd00034","5/8/2021 10:47:54 AM","5/8/2021 10:47:10 AM"
"cjj00005","6/23/2020 3:47:38 PM","6/23/2020 3:47:18 PM"
"cking13","7/16/2020 5:18:11 PM","7/16/2020 5:17:57 PM"
"crj00007","5/20/2021 1:06:16 PM","5/14/2021 1:03:55 PM"
"ctw00010","5/17/2021 11:19:34 AM","5/14/2021 12:31:21 PM"
"daoye","5/14/2021 7:23:07 PM","5/13/2021 9:09:25 PM"
"dbroniko","5/14/2021 10:09:50 AM","5/14/2021 10:26:57 AM"
"dda0001","7/19/2020 9:43:25 PM","5/10/2021 1:00:10 PM"
"dgc0006","5/10/2021 2:31:24 PM","5/6/2021 3:27:23 PM"
"djw00016","5/1/2021 4:34:09 AM","5/6/2021 9:04:41 PM"
"dsgroi","5/20/2021 5:11:21 PM","5/19/2021 2:12:43 AM"
"eeh00014","5/17/2021 1:33:17 PM","4/27/2021 8:50:40 PM"
"ehd00004","5/1/2021 4:31:34 AM","4/27/2021 8:52:03 PM"
"ejhaught","5/20/2021 1:30:55 PM","7/6/2020 8:23:41 AM"
"emf00006","3/3/2021 3:40:55 PM","3/3/2021 3:40:28 PM"
"fns00005","5/1/2021 4:32:18 AM","4/27/2021 8:43:36 PM"
"fy00003","5/12/2021 4:27:07 PM","UserNotFound"
"fyb00001","5/19/2021 2:34:41 PM","5/14/2021 3:32:58 PM"
"gha0001","8/31/2020 10:03:44 AM","8/31/2020 10:03:26 AM"
"gm00033","5/10/2021 10:19:50 AM","UserNotFound"
"gms00023","5/1/2021 4:30:36 AM","5/14/2021 12:06:19 PM"
"gp10013","4/8/2021 10:35:00 AM","4/7/2021 2:51:49 PM"
"hkfarr","5/17/2021 4:32:41 PM","4/27/2021 8:50:36 PM"
"hmchiles","5/1/2021 4:34:23 AM","3/3/2021 9:04:27 AM"
"ils00003","5/21/2021 7:49:14 AM","5/20/2021 2:17:28 PM"
"iwmcardle","5/17/2021 4:22:52 PM","4/28/2019 12:25:17 PM"
"ja00050","5/15/2021 2:17:59 PM","UserNotFound"
"jaddicks","5/20/2021 2:35:20 PM","5/6/2021 9:00:18 PM"
"jas00062","5/10/2021 6:25:01 PM","5/10/2021 6:24:36 PM"
